time_hr,discharge_cumecs
0.0000,0.00
0.0500,5881.37
0.1000,11502.60
0.1500,16613.33
0.2000,20987.42
0.2500,24433.87
0.3000,26806.17
0.3500,28009.84
0.4000,28007.74
0.4500,26823.01
0.5000,24539.91
0.5500,21302.64
0.6000,17313.06
0.6500,12829.16
0.7000,7815.86
0.7500,3709.13
0.8000,768.60
0.8500,0.00
0.9000,0.00
0.9500,0.00
1.0000,0.00
1.0500,0.00
1.1000,0.00
1.1500,0.00
1.2000,0.00
1.2500,0.00
1.3000,0.00
1.3500,0.00
1.4000,0.00
1.4500,0.00
1.5000,0.00
1.5500,0.00
1.6000,0.00
1.6500,0.00
1.7000,0.00
1.7500,0.00
1.8000,0.00
1.8500,0.00
1.9000,0.00
1.9500,0.00
2.0000,0.00
2.0500,0.00
2.1000,0.00
2.1500,0.00
2.2000,0.00
2.2500,0.00
2.3000,0.00
2.3500,0.00
2.4000,0.00
2.4500,0.00
2.5000,0.00
2.5500,0.00
2.6000,0.00
2.6500,0.00
2.7000,0.00
2.7500,0.00
2.8000,0.00
2.8500,0.00
2.9000,0.00
2.9500,0.00
3.0000,0.00
3.0500,0.00
3.1000,0.00
3.1500,0.00
3.2000,0.00
3.2500,0.00
3.3000,0.00
3.3500,0.00
3.4000,0.00
3.4500,0.00
3.5000,0.00
3.5500,0.00
3.6000,0.00
3.6500,0.00
3.7000,0.00
3.7500,0.00
3.8000,0.00
3.8500,0.00
3.9000,0.00
3.9500,0.00
4.0000,0.00
4.0500,0.00
4.1000,0.00
4.1500,0.00
4.2000,0.00
4.2500,0.00
4.3000,0.00
4.3500,0.00
4.4000,0.00
4.4500,0.00
4.5000,0.00
4.5500,0.00
4.6000,0.00
4.6500,0.00
4.7000,0.00
4.7500,0.00
4.8000,0.00
4.8500,0.00
4.9000,0.00
4.9500,0.00
5.0000,0.00
5.0500,0.00
5.1000,0.00
5.1500,0.00
5.2000,0.00
5.2500,0.00
5.3000,0.00
5.3500,0.00
5.4000,0.00
5.4500,0.00
5.5000,0.00
5.5500,0.00
5.6000,0.00
5.6500,0.00
5.7000,0.00
5.7500,0.00
5.8000,0.00
5.8500,0.00
5.9000,0.00
5.9500,0.00
6.0000,0.00
6.0500,0.00
6.1000,0.00
6.1500,0.00
6.2000,0.00
6.2500,0.00
6.3000,0.00
6.3500,0.00
6.4000,0.00
6.4500,0.00
6.5000,0.00
6.5500,0.00
6.6000,0.00
6.6500,0.00
6.7000,0.00
6.7500,0.00
6.8000,0.00
6.8500,0.00
6.9000,0.00
6.9500,0.00
7.0000,0.00
7.0500,0.00
7.1000,0.00
7.1500,0.00
7.2000,0.00
7.2500,0.00
7.3000,0.00
7.3500,0.00
7.4000,0.00
7.4500,0.00
7.5000,0.00
7.5500,0.00
7.6000,0.00
7.6500,0.00
7.7000,0.00
7.7500,0.00
7.8000,0.00
7.8500,0.00
7.9000,0.00
7.9500,0.00
8.0000,0.00
8.0500,0.00
8.1000,0.00
8.1500,0.00
8.2000,0.00
8.2500,0.00
8.3000,0.00
8.3500,0.00
8.4000,0.00
8.4500,0.00
8.5000,0.00
8.5500,0.00
8.6000,0.00
8.6500,0.00
8.7000,0.00
8.7500,0.00
8.8000,0.00
8.8500,0.00
8.9000,0.00
8.9500,0.00
9.0000,0.00
9.0500,0.00
9.1000,0.00
9.1500,0.00
9.2000,0.00
9.2500,0.00
9.3000,0.00
9.3500,0.00
9.4000,0.00
9.4500,0.00
9.5000,0.00
9.5500,0.00
9.6000,0.00
9.6500,0.00
9.7000,0.00
9.7500,0.00
9.8000,0.00
9.8500,0.00
9.9000,0.00
9.9500,0.00
10.0000,0.00
10.0500,0.00
10.1000,0.00
10.1500,0.00
10.2000,0.00
10.2500,0.00
10.3000,0.00
10.3500,0.00
10.4000,0.00
10.4500,0.00
10.5000,0.00
10.5500,0.00
10.6000,0.00
10.6500,0.00
10.7000,0.00
10.7500,0.00
10.8000,0.00
10.8500,0.00
10.9000,0.00
10.9500,0.00
11.0000,0.00
11.0500,0.00
11.1000,0.00
11.1500,0.00
11.2000,0.00
11.2500,0.00
11.3000,0.00
11.3500,0.00
11.4000,0.00
11.4500,0.00
11.5000,0.00
11.5500,0.00
11.6000,0.00
11.6500,0.00
11.7000,0.00
11.7500,0.00
11.8000,0.00
11.8500,0.00
11.9000,0.00
11.9500,0.00
12.0000,0.00
